Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Info,Coord_rad
Beauty World Plaza,"140 Upper Bukit Timah Road, S(588176)","\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 5pm",\$2.40/entry from 5pm to 7am the following day,Charges same as weekdays,\$2.40/entry from 7am to 7am the following day,"<b>Carpark: </b>Beauty World Plaza
<b>Address: </b>140 Upper Bukit Timah Road, S(588176)
<b>Mon-Fri before 5/6pm: </b>\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$2.40/entry from 5pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$2.40/entry from 7am to 7am the following day","(0.023419276452877676, 1.8112386162108989)"
Odeon Towers,"331 North Bridge Road, S(188720)","\$2.20 for 1st hr, \$1.10 for subsequent 30min from 7am to 5pm",\$2.20/entry from 5pm to 7am the following day,"\$2.20 for 1st hr, \$0.90 for subsequent 30min from 7am to 5pm, \$2.20/entry from 5pm to 7am the following day","\$2.20 for 1st hr, \$0.90 for next subsequent 30min from 7am to 5pm, \$2.20/entry from 5pm to 7am the following day","<b>Carpark: </b>Odeon Towers
<b>Address: </b>331 North Bridge Road, S(188720)
<b>Mon-Fri before 5/6pm: </b>\$2.20 for 1st hr, \$1.10 for subsequent 30min from 7am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$2.20/entry from 5pm to 7am the following day
<b>Sat: </b>\$2.20 for 1st hr, \$0.90 for subsequent 30min from 7am to 5pm, \$2.20/entry from 5pm to 7am the following day
<b>Sun/ Public Holiday: </b>\$2.20 for 1st hr, \$0.90 for next subsequent 30min from 7am to 5pm, \$2.20/entry from 5pm to 7am the following day","(0.022625153388549507, 1.8125804113771984)"
NTU Car Park A (North Academic Complex),"50 Nanyang Avenue, S(639798)",\$0.02/min from 8am to 6pm,"\$1.20/entry from 6pm to 10pm, Free parking after 10pm",Free Parking,Free Parking,"<b>Carpark: </b>NTU Car Park A (North Academic Complex)
<b>Address: </b>50 Nanyang Avenue, S(639798)
<b>Mon-Fri before 5/6pm: </b>\$0.02/min from 8am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$1.20/entry from 6pm to 10pm, Free parking after 10pm
<b>Sat: </b>Free Parking
<b>Sun/ Public Holiday: </b>Free Parking","(0.023522647068485544, 1.8096072395057674)"
NTU Car Park B (South Academic Complex),"50 Nanyang Avenue, S(639798)","\$0.02/min from 8am to 6pm, maximum charge of \$4.80/day","\$1.20/entry from 6pm to 10pm, Free parking after 10pm",Free Parking,Free Parking,"<b>Carpark: </b>NTU Car Park B (South Academic Complex)
<b>Address: </b>50 Nanyang Avenue, S(639798)
<b>Mon-Fri before 5/6pm: </b>\$0.02/min from 8am to 6pm, maximum charge of \$4.80/day
<b>Mon-Fri after 5/6pm: </b>\$1.20/entry from 6pm to 10pm, Free parking after 10pm
<b>Sat: </b>Free Parking
<b>Sun/ Public Holiday: </b>Free Parking","(0.023522647068485544, 1.8096072395057674)"
City Plaza,"810 Geylang Road, S(409286)","\$1.20 for 1st hr, \$0.70 for next subsequent 30min from 8am to 5pm",\$1.50/entry from 5pm to 8am the following day,Charges same as weekdays,\$1.50/entry from 8am to 8am the following day,"<b>Carpark: </b>City Plaza
<b>Address: </b>810 Geylang Road, S(409286)
<b>Mon-Fri before 5/6pm: </b>\$1.20 for 1st hr, \$0.70 for next subsequent 30min from 8am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$1.50/entry from 5pm to 8am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$1.50/entry from 8am to 8am the following day","(0.022947863021914008, 1.8132819743953055)"
Winsland House 1,"3 Killiney Road, S(239519)","\$2.50 for 1st hr, \$1.20 for next subsequent 30min from 7am to 7pm","\$3.50/entry from 7pm to 11pm, \$3.50/entry from 11pm to 7am the following day",Charges same as weekdays,\$4.50/entry from 7.00am to 11pm \$3.50/entry from 11pm to 7am the following day,"<b>Carpark: </b>Winsland House 1
<b>Address: </b>3 Killiney Road, S(239519)
<b>Mon-Fri before 5/6pm: </b>\$2.50 for 1st hr, \$1.20 for next subsequent 30min from 7am to 7pm
<b>Mon-Fri after 5/6pm: </b>\$3.50/entry from 7pm to 11pm, \$3.50/entry from 11pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$4.50/entry from 7.00am to 11pm \$3.50/entry from 11pm to 7am the following day","(0.022683360119103522, 1.8123547420502446)"
Winsland House 2,"163 Penang Road, S(238463)","\$2.50 for 1st hr, \$1.20 for next subsequent 30min from 7am to 7pm","\$3.50/entry from 7pm to 11pm, \$3.50/entry from 11pm to 7am the following day",Charges same as weekdays,\$4.50/entry from 7.00am to 11pm \$3.50/entry from 11pm to 7am the following day,"<b>Carpark: </b>Winsland House 2
<b>Address: </b>163 Penang Road, S(238463)
<b>Mon-Fri before 5/6pm: </b>\$2.50 for 1st hr, \$1.20 for next subsequent 30min from 7am to 7pm
<b>Mon-Fri after 5/6pm: </b>\$3.50/entry from 7pm to 11pm, \$3.50/entry from 11pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$4.50/entry from 7.00am to 11pm \$3.50/entry from 11pm to 7am the following day","(0.022684742419871097, 1.8123709334697156)"
Bedok Central Blk 207 (Cooked Food Centre),"207 New Upper Changi Road, S(460207)",\$0.50/30min from 7.00am to 10.30pm,\$2.00/entry from 10.30pm to 7.00am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Bedok Central Blk 207 (Cooked Food Centre)
<b>Address: </b>207 New Upper Changi Road, S(460207)
<b>Mon-Fri before 5/6pm: </b>\$0.50/30min from 7.00am to 10.30pm
<b>Mon-Fri after 5/6pm: </b>\$2.00/entry from 10.30pm to 7.00am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.023123553100407514, 1.8139252695963346)"
Inland Revenue Authority of Singapore (IRAS),"55 Newton Road, S(307987)",\$0.45/15min from 6am to 6pm,\$2.20/entry from 6pm to 6am the following day,"\$0.45/15min from 6am to 1.30pm, \$1.60/entry from 1.30pm to 12midnight",\$1.60/entry from 6am to 12midnight the following day,"<b>Carpark: </b>Inland Revenue Authority of Singapore (IRAS)
<b>Address: </b>55 Newton Road, S(307987)
<b>Mon-Fri before 5/6pm: </b>\$0.45/15min from 6am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$2.20/entry from 6pm to 6am the following day
<b>Sat: </b>\$0.45/15min from 6am to 1.30pm, \$1.60/entry from 1.30pm to 12midnight
<b>Sun/ Public Holiday: </b>\$1.60/entry from 6am to 12midnight the following day","(0.023030015669805382, 1.812387692121193)"
Bukit Batok Driving Centre (BBDC),"815 Bukit Batok West Avenue 5, S(659085)",\$2.00/hr,\$2.00/hr,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Bukit Batok Driving Centre (BBDC)
<b>Address: </b>815 Bukit Batok West Avenue 5, S(659085)
<b>Mon-Fri before 5/6pm: </b>\$2.00/hr
<b>Mon-Fri after 5/6pm: </b>\$2.00/hr
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.023855666361741575, 1.8107816296715324)"
Creative Technologies,"31 International Business Park, S(609921)","\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 8am to 7pm","\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 7pm to 8am the following day",Free parking,Free parking,"<b>Carpark: </b>Creative Technologies
<b>Address: </b>31 International Business Park, S(609921)
<b>Mon-Fri before 5/6pm: </b>\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 8am to 7pm
<b>Mon-Fri after 5/6pm: </b>\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 7pm to 8am the following day
<b>Sat: </b>Free parking
<b>Sun/ Public Holiday: </b>Free parking","(0.023190366049503107, 1.8107112719587259)"
Certis CISCO Centre,"20 Jalan Afifi, S(409179)",\$1.60/30min from 7am to 6pm,\$1.20/30min from 6pm to 7am the following day,\$1.00/30min from 7am to 7am the following day,\$1.00/30min from 7am to 7am the following day,"<b>Carpark: </b>Certis CISCO Centre
<b>Address: </b>20 Jalan Afifi, S(409179)
<b>Mon-Fri before 5/6pm: </b>\$1.60/30min from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$1.20/30min from 6pm to 7am the following day
<b>Sat: </b>\$1.00/30min from 7am to 7am the following day
<b>Sun/ Public Holiday: </b>\$1.00/30min from 7am to 7am the following day","(0.023080494082431562, 1.8132588976519355)"
Singapore Science Centre,"15 Science Centre Road, S(609081)",\$0.60/30min from 7am to 6pm,\$0.60/30min from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Singapore Science Centre
<b>Address: </b>15 Science Centre Road, S(609081)
<b>Mon-Fri before 5/6pm: </b>\$0.60/30min from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$0.60/30min from 6pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.023267373466759601, 1.8105286825936993)"
Rivervale Mall,"11 Rivervale Crescent, S(545082)","\$1.28 for 1st hr, \$0.64 for next subsequent 30min from 12midnight to 11.59pm","\$1.28 for 1st hr, \$0.64 for next subsequent 30min from 12midnight to 11.59pm",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Rivervale Mall
<b>Address: </b>11 Rivervale Crescent, S(545082)
<b>Mon-Fri before 5/6pm: </b>\$1.28 for 1st hr, \$0.64 for next subsequent 30min from 12midnight to 11.59pm
<b>Mon-Fri after 5/6pm: </b>\$1.28 for 1st hr, \$0.64 for next subsequent 30min from 12midnight to 11.59pm
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.024299955630799997, 1.8134743969453377)"
Fook Hai Building,"150 South Bridge Road, S(058727)",\$1.20/30min from 7.30am to 5pm,\$2.50/entry from 5pm to 7.30am,Charges same as weekdays,\$2.50/entry from 7.30am to 7.30am the following day,"<b>Carpark: </b>Fook Hai Building
<b>Address: </b>150 South Bridge Road, S(058727)
<b>Mon-Fri before 5/6pm: </b>\$1.20/30min from 7.30am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$2.50/entry from 5pm to 7.30am
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$2.50/entry from 7.30am to 7.30am the following day","(0.022425606404510495, 1.8124625684914328)"
Marina South Pier (MSP),"31 Marina Coastal Drive, S(018988)","\$2.00/hr for 1st 2hr, \$3.00 for next subsequent hr from 7am to 10.30pm",\$3.00/entry from 10.30pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Marina South Pier (MSP)
<b>Address: </b>31 Marina Coastal Drive, S(018988)
<b>Mon-Fri before 5/6pm: </b>\$2.00/hr for 1st 2hr, \$3.00 for next subsequent hr from 7am to 10.30pm
<b>Mon-Fri after 5/6pm: </b>\$3.00/entry from 10.30pm to 7am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022182490766353941, 1.8127556546514032)"
China Square Central,"18 Cross Street, S(048423)",\$1.80/30min from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,\$3.00/entry from 6am to 8am the following day,\$3.00/entry from 8am to 5.59am the following day,"<b>Carpark: </b>China Square Central
<b>Address: </b>18 Cross Street, S(048423)
<b>Mon-Fri before 5/6pm: </b>\$1.80/30min from 8am to 5.59pm
<b>Mon-Fri after 5/6pm: </b>\$3.00/entry from 6pm to 7.59am the following day
<b>Sat: </b>\$3.00/entry from 6am to 8am the following day
<b>Sun/ Public Holiday: </b>\$3.00/entry from 8am to 5.59am the following day","(0.02240252617048212, 1.8124700245379972)"
Marsh and McLennan Centre,"18 Cross Street, S(048423)",\$1.80/30min from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,"\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","<b>Carpark: </b>Marsh and McLennan Centre
<b>Address: </b>18 Cross Street, S(048423)
<b>Mon-Fri before 5/6pm: </b>\$1.80/30min from 8am to 5.59pm
<b>Mon-Fri after 5/6pm: </b>\$3.00/entry from 6pm to 7.59am the following day
<b>Sat: </b>\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day
<b>Sun/ Public Holiday: </b>\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","(0.02240252617048212, 1.8124700245379972)"
China Court,"20 Cross Street, S(048422)",\$1.80/30min from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,"\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","<b>Carpark: </b>China Court
<b>Address: </b>20 Cross Street, S(048422)
<b>Mon-Fri before 5/6pm: </b>\$1.80/30min from 8am to 5.59pm
<b>Mon-Fri after 5/6pm: </b>\$3.00/entry from 6pm to 7.59am the following day
<b>Sat: </b>\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day
<b>Sun/ Public Holiday: </b>\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","(0.022404597876304236, 1.8124805907612889)"
South Bridge Court,"18 Cross Street, S(048423)",\$1.80/30min from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,"\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","<b>Carpark: </b>South Bridge Court
<b>Address: </b>18 Cross Street, S(048423)
<b>Mon-Fri before 5/6pm: </b>\$1.80/30min from 8am to 5.59pm
<b>Mon-Fri after 5/6pm: </b>\$3.00/entry from 6pm to 7.59am the following day
<b>Sat: </b>\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day
<b>Sun/ Public Holiday: </b>\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","(0.02240252617048212, 1.8124700245379972)"
Nankin Row,"3 Pickering Street, S(048660)",\$1.80/30min from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,"\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","<b>Carpark: </b>Nankin Row
<b>Address: </b>3 Pickering Street, S(048660)
<b>Mon-Fri before 5/6pm: </b>\$1.80/30min from 8am to 5.59pm
<b>Mon-Fri after 5/6pm: </b>\$3.00/entry from 6pm to 7.59am the following day
<b>Sat: </b>\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day
<b>Sun/ Public Holiday: </b>\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","(0.022425550553974428, 1.8124839732093792)"
Great Eastern Centre,"1 Pickering Street, S(048659)",\$1.80/30min from 8am to 6pm,\$3.30/entry from 6pm to 7.59am the following day,\$3.30/entry from 6am to 8am the following day,\$3.30/entry from 8am to 5.59am the following day,"<b>Carpark: </b>Great Eastern Centre
<b>Address: </b>1 Pickering Street, S(048659)
<b>Mon-Fri before 5/6pm: </b>\$1.80/30min from 8am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.30/entry from 6pm to 7.59am the following day
<b>Sat: </b>\$3.30/entry from 6am to 8am the following day
<b>Sun/ Public Holiday: </b>\$3.30/entry from 8am to 5.59am the following day","(0.022423555642639401, 1.8124796063955908)"
Riverside Point,"30 Merchant Road, S(058282)","\$2.30 for 1st hr, \$1.00 for next subsequent 30min from 6am to 5pm",\$3.50/entry from 5pm to 6am the following day,Charges same as weekdays,\$3.50/entry from 6am to 6am the following day,"<b>Carpark: </b>Riverside Point
<b>Address: </b>30 Merchant Road, S(058282)
<b>Mon-Fri before 5/6pm: </b>\$2.30 for 1st hr, \$1.00 for next subsequent 30min from 6am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$3.50/entry from 5pm to 6am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$3.50/entry from 6am to 6am the following day","(0.02250280057199695, 1.8124243196008754)"
Shaw Leisure Gallery,"100 Beach Road, S(189702)","\$1.07 for 1st hr, \$1.07 for next subsequent 30min from 12midnight to 5pm",\$2.14/entry from 5pm to 12midnight,\$2.14/entry from 12midnight to 12midnight the following day,\$2.14/entry from 12midnight to 12midnight the following day,"<b>Carpark: </b>Shaw Leisure Gallery
<b>Address: </b>100 Beach Road, S(189702)
<b>Mon-Fri before 5/6pm: </b>\$1.07 for 1st hr, \$1.07 for next subsequent 30min from 12midnight to 5pm
<b>Mon-Fri after 5/6pm: </b>\$2.14/entry from 5pm to 12midnight
<b>Sat: </b>\$2.14/entry from 12midnight to 12midnight the following day
<b>Sun/ Public Holiday: </b>\$2.14/entry from 12midnight to 12midnight the following day","(0.022630296873855135, 1.8126446970895369)"
Atrium @ Orchard,"60 Orchard Road, S(238889)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm from Mon to Thur, \$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm on Fri an","\$2.57/entry from 6pm to 11.59pm from Mon to Thurs, \$2.57/entry from 6pm to 2.59am the following day on Fri and Eve of PH","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm","<b>Carpark: </b>Atrium @ Orchard
<b>Address: </b>60 Orchard Road, S(238889)
<b>Mon-Fri before 5/6pm: </b>\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm from Mon to Thur, \$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm on Fri an
<b>Mon-Fri after 5/6pm: </b>\$2.57/entry from 6pm to 11.59pm from Mon to Thurs, \$2.57/entry from 6pm to 2.59am the following day on Fri and Eve of PH
<b>Sat: </b>\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day
<b>Sun/ Public Holiday: </b>\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm","(0.022682204711138701, 1.8124415058580197)"
Safra Mount Faber,"2 Telok Blangah Way, S(098803)","(For Member): \$1.25/hr, \$0.32 for next subsequent 15min (For Public): \$2.30/hr, \$0.58 for next subsequent 15min from 6am to 5.59pm","(For Member): \$2.40/entry, (For Public): \$4.00/entry from 6pm to 5.59am the following day",Charges same as weekdays,"(For Member): \$2.40/entry, (For Public): \$4.00/entry from 6am to 5.59am the following day","<b>Carpark: </b>Safra Mount Faber
<b>Address: </b>2 Telok Blangah Way, S(098803)
<b>Mon-Fri before 5/6pm: </b>(For Member): \$1.25/hr, \$0.32 for next subsequent 15min (For Public): \$2.30/hr, \$0.58 for next subsequent 15min from 6am to 5.59pm
<b>Mon-Fri after 5/6pm: </b>(For Member): \$2.40/entry, (For Public): \$4.00/entry from 6pm to 5.59am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>(For Member): \$2.40/entry, (For Public): \$4.00/entry from 6am to 5.59am the following day","(0.022295891789173024, 1.811952291814015)"
Singapore Botanic Gardens ,"1 Cluny Road, S(259569)",\$0.02/min from 7am to 10.30pm.,\$0.02/min up to a maximum cap of \$2.00 for entry between 7pm to 10.30pm.,Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Singapore Botanic Gardens 
<b>Address: </b>1 Cluny Road, S(259569)
<b>Mon-Fri before 5/6pm: </b>\$0.02/min from 7am to 10.30pm.
<b>Mon-Fri after 5/6pm: </b>\$0.02/min up to a maximum cap of \$2.00 for entry between 7pm to 10.30pm.
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022952852918245458, 1.8119343760092432)"
Ministry of Education Building (MOE),"1 North Buona Vista Drive, S(138675)","\$1.50/hr, \$2.50 for next subsequent hr from 8am to 5pm","\$1.50/hr, \$2.50 for next subsequent hr from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Ministry of Education Building (MOE)
<b>Address: </b>1 North Buona Vista Drive, S(138675)
<b>Mon-Fri before 5/6pm: </b>\$1.50/hr, \$2.50 for next subsequent hr from 8am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$1.50/hr, \$2.50 for next subsequent hr from 5pm to 8am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022782360430264392, 1.8114923067989932)"
Changi Ferry Terminal,"30 Changi Ferry Road, S(499675)",Free Parking,Free Parking,Free Parking,Free Parking,"<b>Carpark: </b>Changi Ferry Terminal
<b>Address: </b>30 Changi Ferry Road, S(499675)
<b>Mon-Fri before 5/6pm: </b>Free Parking
<b>Mon-Fri after 5/6pm: </b>Free Parking
<b>Sat: </b>Free Parking
<b>Sun/ Public Holiday: </b>Free Parking","(0.023964332306299994, 1.8152824568213073)"
Young Men's Christian Association Of Singapore (YMCA),"1 Orchard Road, S(238824)",\$2.00/hr from 7am to 6pm,\$4.00/entry from 6pm to 12midnight the following day,Charges same as weekdays,\$4.00/entry from 7am to 7am the following day,"<b>Carpark: </b>Young Men's Christian Association Of Singapore (YMCA)
<b>Address: </b>1 Orchard Road, S(238824)
<b>Mon-Fri before 5/6pm: </b>\$2.00/hr from 7am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$4.00/entry from 6pm to 12midnight the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$4.00/entry from 7am to 7am the following day","(0.022647999748458113, 1.8124894029286822)"
PWC Building,"8 Cross Street, S(048424)",\$2.60/30min from 6am to 6pm,\$3.20/entry from 6pm to 6am the following day,"\$3.20/entry from 6am to 8pm, Carpark Closed after 8pm","\$3.20/entry from 6am to 8pm, Carpark Closed after 8pm","<b>Carpark: </b>PWC Building
<b>Address: </b>8 Cross Street, S(048424)
<b>Mon-Fri before 5/6pm: </b>\$2.60/30min from 6am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.20/entry from 6pm to 6am the following day
<b>Sat: </b>\$3.20/entry from 6am to 8pm, Carpark Closed after 8pm
<b>Sun/ Public Holiday: </b>\$3.20/entry from 6am to 8pm, Carpark Closed after 8pm","(0.022383163487760493, 1.8125074670864405)"
Mandarin Orchard Singapore,"333 Orchard Road, S(238867)","\$3.50 for 1st hr, \$0.05 for next subsequent min from 6am to 6pm","\$3.50 for 1st hr, \$0.05 for next subsequnet min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Mandarin Orchard Singapore
<b>Address: </b>333 Orchard Road, S(238867)
<b>Mon-Fri before 5/6pm: </b>\$3.50 for 1st hr, \$0.05 for next subsequent min from 6am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.50 for 1st hr, \$0.05 for next subsequnet min from 6pm to 6am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022727811909822562, 1.8122878139094185)"
Civil Service College,"31 North Buona Vista Road, S(275983)","\$1.50/hr for the 1st 5hr, \$9.00/entry for parking more than 5 hr",\$1.00/hr from 6pm to 10.30pm,"\$1.50/hr from 8am to 1pm, \$1.00/hr from 1pm to 10.30pm",Closed,"<b>Carpark: </b>Civil Service College
<b>Address: </b>31 North Buona Vista Road, S(275983)
<b>Mon-Fri before 5/6pm: </b>\$1.50/hr for the 1st 5hr, \$9.00/entry for parking more than 5 hr
<b>Mon-Fri after 5/6pm: </b>\$1.00/hr from 6pm to 10.30pm
<b>Sat: </b>\$1.50/hr from 8am to 1pm, \$1.00/hr from 1pm to 10.30pm
<b>Sun/ Public Holiday: </b>Closed","(0.022857800541852595, 1.8115083987346967)"
Singapore Zoo / Singapore Night Safari,"80 Mandai Lake Road, S(729826)","\$3.00 for 1st hr, \$2.00 for next subsequent hr from 8.30am to 6pm","\$3.00 for 1st hr, \$2.00 for next subsequent hr from 8.30am to 6pm",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Singapore Zoo / Singapore Night Safari
<b>Address: </b>80 Mandai Lake Road, S(729826)
<b>Mon-Fri before 5/6pm: </b>\$3.00 for 1st hr, \$2.00 for next subsequent hr from 8.30am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$3.00 for 1st hr, \$2.00 for next subsequent hr from 8.30am to 6pm
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.024521601973827765, 1.8114868107571789)"
Noel Corporate Building,"50 Kallang Avenue, S(339505)","\$2.14 for 1st hr, \$1.20 for next subsequent 30min from 8am to 5pm","\$2.14 for 1st hr, \$1.20 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,"<b>Carpark: </b>Noel Corporate Building
<b>Address: </b>50 Kallang Avenue, S(339505)
<b>Mon-Fri before 5/6pm: </b>\$2.14 for 1st hr, \$1.20 for next subsequent 30min from 8am to 5pm
<b>Mon-Fri after 5/6pm: </b>\$2.14 for 1st hr, \$1.20 for next subsequent 30min from 5pm to 8am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>Charges same as weekdays","(0.022913942547901498, 1.8128178337513348)"
Hougang Green Shopping Mall,"21 Hougang Street 51, S(538719)","\$1.07 for 1st hr, \$0.55 for next subsequent 30min from 7am to 4.59pm",\$1.20/entry from 5pm to 6.59am the following day,Charges same as weekdays,"\$2.15/entry from 7am to 12midnight, \$1.20/entry from 12midnight to 6.59am the following day","<b>Carpark: </b>Hougang Green Shopping Mall
<b>Address: </b>21 Hougang Street 51, S(538719)
<b>Mon-Fri before 5/6pm: </b>\$1.07 for 1st hr, \$0.55 for next subsequent 30min from 7am to 4.59pm
<b>Mon-Fri after 5/6pm: </b>\$1.20/entry from 5pm to 6.59am the following day
<b>Sat: </b>Charges same as weekdays
<b>Sun/ Public Holiday: </b>\$2.15/entry from 7am to 12midnight, \$1.20/entry from 12midnight to 6.59am the following day","(0.024073223398331921, 1.8131844803032888)"
Camden Medical Centre,"1 Orchard Boulevard, S(248649)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 3am to 6pm",\$4.00/entry from 6pm to 3am the following day,"\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 3am to 1pm, \$4.00/entry from 1pm to 3am the following day",\$4.00/entry from 3am to 3am the following day,"<b>Carpark: </b>Camden Medical Centre
<b>Address: </b>1 Orchard Boulevard, S(248649)
<b>Mon-Fri before 5/6pm: </b>\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 3am to 6pm
<b>Mon-Fri after 5/6pm: </b>\$4.00/entry from 6pm to 3am the following day
<b>Sat: </b>\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 3am to 1pm, \$4.00/entry from 1pm to 3am the following day
<b>Sun/ Public Holiday: </b>\$4.00/entry from 3am to 3am the following day","(0.022744928353796871, 1.8120673037757336)"
